Ticker,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,EPS,Market_Cap,Dividend_Yield,Beta,Current_Price,Target_Price,Profit_Margin,Operating_Margin,Quick_Ratio,Revenue_Growth,Upside_Potential,Score
RMD,32.59934,6.953862,0.23565,16.366,7.55,36130164736.0,0.0087,0.689,246.125,249.7,0.23149,0.3163,1.435,0.111,1.452513966480451,9
ANET,52.394157,15.029991,0.34463,0.731,7.7,126740307968.0,,1.075,403.435,379.05,0.39008,0.41384998,3.47,0.159,-6.044344194232032,9
MRO,10.773399,1.375762,0.13327,47.269,2.56,15427727360.0,0.016,2.162,27.5799,31.23,0.22698,0.29281,0.504,0.122,13.234638269174305,9
META,26.859367,8.73117,0.36134,29.811,21.19,1436813492224.0,0.0036000002,1.216,569.15,640.15,0.35549998,0.42765,2.568,0.189,12.47474303786349,9
TROW,12.454545,2.464563,0.20495,3.247,9.13,25261701120.0,0.044099998,1.428,113.71,112.54,0.30354,0.33613,1.904,0.069,-1.0289332512531724,9
PHM,9.744831,2.343273,0.26705,19.411,13.54,27059546112.0,0.0062,1.63,131.945,151.2,0.16635,0.19971001,0.553,0.118,14.59320171283489,9
NXPI,20.699438,6.2505655,0.31456,108.935,10.68,56313823232.0,0.0171,1.493,221.07,287.56,0.21214001,0.28846002,1.345,-0.052,30.07644637445153,9
SYK,39.580475,6.9792833,0.18868,79.443,9.32,140626771968.0,0.0087,0.918,368.89,396.33,0.16337,0.21587,1.098,0.119,7.438531811651172,9
DXCM,41.593937,13.544503,0.32061002,130.935,1.65,26806534144.0,,1.18,68.63,95.97,0.17218,0.15289,2.033,0.02,39.83680606148916,9
DECK,28.750002,11.125735,0.4357,11.633,5.66,24721508352.0,,1.052,162.725,188.66,0.18799,0.23266001,2.052,0.201,15.937932094023655,9
DVN,7.099439,1.96437,0.29691,51.08,5.53,25843181568.0,0.0511,2.061,39.2599,52.06,0.23742001,0.30517998,0.905,0.05,32.60349618822258,9
FTNT,46.34615,207.7586,4.30883,373.421,1.69,59911417856.0,,0.997,78.325,78.18,0.23709999,0.30398,1.187,0.109,-0.18512607724225916,9
ISRG,82.543274,11.773297,0.15973,,6.24,183457120256.0,,1.393,515.07,539.24,0.28513,0.28325,3.293,0.169,4.692566058982273,9
GRMN,26.001272,5.2376566,0.21909,1.908,7.87,39294074880.0,0.015,1.006,204.63,166.59,0.2548,0.27583,2.128,0.241,-18.589649611493908,9
VICI,11.709259,1.2678965,0.111899994,66.55,2.7,33327583232.0,0.0546,0.957,31.615,35.67,0.73902,0.98638,15.975,0.067,12.826190099636259,9
CF,13.758321,2.913744,0.1792,42.006,6.31,15107547136.0,0.0231,0.946,86.815,86.83,0.19455,0.26496,2.329,0.076,0.01727812014054031,9
CNC,11.151986,1.2061268,0.11559,64.231,5.79,32599132160.0,,0.48,64.57,83.14,0.02098,0.0296,1.051,0.061,28.75948582933252,9
CMG,51.916664,21.15849,0.45673,124.061,1.08,76400418816.0,,1.255,56.07,65.28,0.13512999,0.17483999,1.486,0.13,16.425896201177093,9
DE,13.635743,4.743092,0.35481,288.043,29.32,109385277440.0,0.0146,0.932,399.8,419.06,0.14698,0.19016,1.798,-0.168,4.817408704352166,9
CDNS,76.84565,17.503756,0.27072,61.911,3.79,79877726208.0,,1.019,291.245,311.39,0.23868,0.309,2.122,0.188,6.91685694175006,9
UHS,14.004663,2.1173663,0.16341,76.373,15.01,14023782400.0,0.0038,1.279,210.21,247.74,0.06655,0.09694,1.154,0.112,17.853574996432144,9
TRV,12.527992,1.9991968,0.19059,29.004,19.47,55596929024.0,0.0173,0.63,243.92,266.41,0.10019,0.13928,0.198,0.119,9.220236142997717,9
AMP,19.594109,8.713085,0.56751,67.402,26.14,49689907200.0,0.0117,1.346,512.19,525.44,0.15517001,0.34145,2.157,0.119,2.5869306312110707,9
V,30.136314,14.590077,0.50708,53.239,9.72,568769511424.0,0.0081,0.961,292.925,321.38,0.54955,0.66122,0.837,0.117,9.71409063753519,8
ABNB,18.761225,10.9258375,0.74175,28.418,7.35,87207968768.0,,1.172,137.895,130.47,0.46111,0.18086,0.722,0.106,-5.384531708908957,8
TT,35.43578,11.458025,0.35146,69.203,10.9,86915522560.0,0.0089,1.214,386.25,402.12,0.12729,0.18761998,0.873,0.114,4.108737864077661,8
WFC,13.265218,1.2963896,0.099139996,,4.81,212440432640.0,0.0251,1.159,63.8057,66.94,0.23228,0.32299,,-0.018,4.912257055404146,8
RJF,15.057793,2.6978903,0.19348,45.916,9.69,29663504384.0,0.0124,1.03,145.91,147.83,0.16187,0.225,,0.132,1.3158796518401905,8
MMM,13.272634,14.963633,1.1329399,295.441,9.61,69458501632.0,0.0222,0.995,127.55,144.8,0.13451,0.21433,0.95,0.004,13.524108192865558,8
ADM,10.096614,1.0938816,0.1075,52.874,5.02,24234629120.0,0.036199998,0.712,50.685,61.7,0.0293,0.0222,0.375,-0.117,21.732267929367666,8
USB,14.617538,1.4247113,0.09779,,3.25,74135142400.0,0.0424,1.051,47.507,52.84,0.22023001,0.35277,,-0.032,11.225714105289764,8
PGR,17.905523,5.314152,0.36411,25.375,13.76,144332357632.0,0.0017,0.351,246.38,273.13,0.112720005,0.15293999,0.227,0.267,10.85721243607436,8
CVS,9.820285,0.9251064,0.097279996,111.598,5.62,69427912704.0,0.048699997,0.532,55.19,67.39,0.01987,0.03031,0.598,0.025,22.105453886573656,8
CEG,25.612581,5.7781377,0.22846001,65.003,9.06,72577589248.0,0.0062,0.768,232.05,281.26,0.11926,0.22365999,0.781,0.072,21.20663650075414,8
CMCSA,11.52965,1.9121591,0.16884,117.127,3.71,163680256000.0,0.0292,1.012,42.775,47.72,0.11924,0.18269,0.605,0.065,11.560490940970203,8
AXON,115.93027,17.260313,0.17232001,37.944,3.8,33293125632.0,,0.94,440.535,425.04,0.16055,0.067,2.357,0.346,-3.517314174810171,8
PCAR,12.0749445,3.0323033,0.27142,83.654,8.94,56598290432.0,0.0114,0.901,107.95,112.1,0.13514,0.13919,4.733,-0.052,3.844372394627138,8
ON,17.357319,3.4685376,0.2183,42.376,4.03,29784498176.0,,1.65,69.95,85.53,0.23795,0.26931,1.875,-0.192,22.27305218012865,8
PAYC,26.180504,8.082624,0.32584998,5.516,8.31,12544944128.0,0.0070999996,1.177,217.56,198.17,0.25779,0.23206,0.215,0.112,-8.912483912483914,8
CB,11.340853,1.6946461,0.16125,31.706,24.38,111452561408.0,0.013200001,0.674,276.49,300.45,0.18277,0.19610001,0.183,0.078,8.665774530724434,8
CBOE,29.149864,5.321991,0.19518,38.137,7.34,22398617600.0,0.012,0.671,213.96,214.27,0.19729,0.29118,0.511,0.162,0.14488689474667638,8
ALL,11.94502,2.5925872,0.23783001,38.833,15.46,48901169152.0,0.0202,0.476,184.67,212.29,0.067719996,0.093219995,0.256,0.147,14.956408729084325,8
DG,12.672628,2.4681954,0.20882,250.873,6.43,17919774720.0,0.028800001,0.445,81.485,100.05,0.03568,0.05386,0.18,0.042,22.78333435601645,8
TEL,14.3612175,3.6046848,0.26461,33.662,10.34,44536324096.0,0.0173,1.323,148.495,169.08,0.20151,0.18559,0.922,0.008,13.862419610087894,8
PRU,10.658059,1.4006202,0.13773,141.51,11.23,42601381888.0,0.0431,1.285,119.69,127.09,0.056199998,0.028369999,0.685,1.334,6.182638482747094,8
NVDA,65.247665,58.965374,1.23767,17.221,2.14,3425123958784.0,0.00029999999,1.669,139.63,148.87,0.55041003,0.62057,3.503,1.224,6.617489078278305,8
NFLX,43.18552,14.364571,0.34714,81.461,17.68,326372720640.0,,1.261,763.52,764.34,0.20701,0.29614002,0.975,0.15,0.1073973176865195,8
ADSK,59.66053,25.353262,0.57445997,105.214,4.89,62872592384.0,,1.478,291.74,299.92,0.18208,0.23653999,0.526,0.119,2.8038664564338234,8
PODD,43.27888,16.837431,0.50931,143.54,5.54,16811243520.0,,1.212,239.765,247.64,0.21109,0.111770004,2.407,0.232,3.284466039663836,8
HES,16.124855,3.9371493,0.2885,81.969,8.57,42578415616.0,0.014400001,1.162,138.19,161.43,0.21169001,0.34984002,0.634,0.143,16.81742528402925,8
HIG,11.140562,1.9352926,0.19740999,25.629,9.96,32166305792.0,0.0187,0.924,110.96,124.81,0.11612,0.14918,1.079,0.095,12.481975486661877,8
GM,5.707577,0.8293273,0.14167,174.581,9.37,58806607872.0,0.0093,1.432,53.48,59.08,0.06058,0.07857,0.948,0.105,10.471204188481686,8
HPE,14.166667,1.1747236,0.086660005,53.696,1.41,25940932608.0,0.025999999,1.205,19.975,21.15,0.06392,0.07808,0.469,0.101,5.88235294117645,8
GPN,20.215094,1.1948655,0.06064,74.476,5.3,27266594816.0,0.0095,0.987,107.14,131.29,0.13612,0.2663,0.48,0.051,22.54060108269553,8
HII,10.7120285,1.7661572,0.17666,67.095,17.71,7423219712.0,0.028299998,0.511,189.71,240.51,0.05987,0.04147,0.699,-0.024,26.777713351958244,8
HWM,45.043957,9.791219,0.23174,89.245,2.25,41365250048.0,0.0032,1.292,101.3489,108.1,0.13154,0.21542999,0.645,0.141,6.661246446680713,8
O,54.018517,1.3276591,0.02513,67.613,1.08,50806435840.0,0.0533,,58.34,64.72,0.17557,0.44672,1.107,0.281,10.93589304079532,8
ARE,68.91769,1.0686327,0.02132,58.757,1.64,19752474624.0,0.046,1.172,113.025,133.08,0.09618,0.27855,2.62,0.109,17.743861977438623,8
INTU,59.31635,9.378078,0.16597,,10.4,172909330432.0,0.0067000003,1.241,616.89,726.86,0.18195,0.15697,0.615,0.41,17.826516883074774,8
JPM,12.256111,1.9158489,0.16216,,18.0,621092143104.0,0.0228,1.102,220.61,227.12,0.33163,0.43787998,,0.03,2.95090884366076,8
L,10.335772,1.0422813,0.110139996,55.642,7.52,17061181440.0,0.0033000002,0.816,77.725,,0.09714,0.12315,,0.138,,8
MTB,14.233727,1.212335,0.08676,,13.52,32137670656.0,0.028299998,0.745,192.44,203.8,0.28109,0.42766997,,0.012,5.903138640615269,8
ZTS,32.91743,16.033072,,136.573,5.33,79487754240.0,0.0099,0.886,175.4499,218.58,0.26552,0.38652,,0.11,24.58257314481227,8
AON,31.59134,12.771922,0.82182,274.699,11.66,79662661632.0,0.0074,0.917,368.355,387.31,0.16320999,0.19162,0.238,0.26,5.145851149027436,8
MGM,12.958781,3.3212383,0.2901,841.031,2.79,10764789760.0,,2.236,36.155,50.57,0.052410003,0.079679996,1.062,0.053,39.87000414880375,8
BG,10.63308,1.1557854,0.10922,63.434,7.89,11714007040.0,0.0324,0.634,83.895,109.53,0.02112,0.03076,0.715,-0.093,30.5560522081173,8
NTRS,12.634497,1.6950413,0.13732,,8.03,20110206976.0,0.0299,1.095,101.455,103.58,0.21493,0.30661,,0.145,2.094524666108133,8
MA,38.112076,62.444046,1.7757801,244.839,13.25,463490875392.0,0.0052,1.103,504.985,549.17,0.45262,0.56724,0.891,0.128,8.74976484450032,8
AMGN,40.69285,22.752428,0.5572,802.418,7.83,171271454720.0,0.028399998,0.602,318.625,334.2,0.13002,0.24156,0.804,0.232,4.888191447626511,8
GL,8.830085,1.79464,,49.505,11.8,9358774272.0,0.0093,0.808,104.195,129.22,0.19037001,0.28057,,0.052,24.017467248908297,8
AMAT,20.86614,8.117096,0.4391,35.409,8.89,152926928896.0,0.0088,1.54,185.5,231.28,0.27743,0.28652,1.947,0.055,24.679245283018858,8
TPR,14.087143,3.9180708,0.31538,302.589,3.5,11477266432.0,0.028800001,1.557,49.305,53.0,0.122320004,0.16863,4.48,-0.018,7.494168948382507,8
WRB,14.875321,2.8333251,,39.412,3.89,22057560064.0,0.0053,0.62,57.865,62.71,0.11956,0.15609999,,0.122,8.372937008554393,8
NDSN,30.82095,5.0702305,0.17406,56.526,8.21,14469206016.0,0.0126,0.903,253.04,282.99,0.17746,0.25397,1.358,0.02,11.836073348087272,7
GE,34.374752,9.993692,0.22552,110.224,5.07,188621504512.0,0.0064999997,1.181,174.28,210.34,0.08926,0.18247999,0.804,0.058,20.690842322699112,7
SNA,17.138933,3.2001746,0.20599002,23.352,19.47,17579954176.0,0.0225,0.974,333.695,337.0,0.20402001,0.26527,2.987,-0.005,0.9904253884535308,7
DHI,12.007671,2.2042012,0.19631,22.915,14.34,55794212864.0,0.0094,1.727,172.19,190.68,0.12925,0.16636999,0.766,-0.048,10.738138103258033,7
TAP,10.256882,0.9666096,0.0879,55.463,5.45,11589300224.0,0.031600002,0.817,55.9,59.9,0.09791,0.18716,0.673,-0.004,7.155635062611809,7
NVR,19.19757,6.7337804,0.38716,23.759,488.84,28761645056.0,,1.189,9384.54,9842.5,0.15898,0.19681999,3.019,0.06,4.8799408388690235,7
MNST,33.884373,9.088851,0.24615,13.772,1.6,53102510080.0,,0.741,54.215,54.79,0.22841999,0.27737,2.515,0.025,1.0605920870607743,7
TXN,37.68773,10.708777,0.29293,84.399,5.38,184961122304.0,0.026700001,0.973,202.76,206.39,0.31601998,0.3734,3.048,-0.084,1.7902939435786136,7
ELV,15.217669,2.2131948,0.15504,61.87,27.45,96880041984.0,0.0156,0.828,417.725,530.52,0.03688,0.043860003,1.34,0.054,27.002214375486243,7
CPRT,37.857143,6.7835655,0.20129,1.573,1.4,51058872320.0,,1.269,53.0,57.19,0.32171002,0.33633998,5.742,0.072,7.905660377358492,7
OKE,20.866526,3.407015,0.16875,166.619,4.72,57536282624.0,0.0414,1.631,98.49,101.76,0.14047,0.22656,0.515,0.199,3.3201340237587695,7
CHTR,12.01943,3.8682024,0.32965,533.472,31.91,54537854976.0,,1.047,383.54,394.62,0.085200004,0.24341999,0.288,0.016,2.8888773009334123,7
FDX,16.971895,2.4703317,0.1507,,16.19,67133853696.0,0.020399999,1.179,274.775,306.67,0.0462,0.0764,1.152,0.139,11.607679010099181,7
OMC,14.051912,5.078754,0.33923998,155.236,7.32,20067264512.0,0.0275,0.964,102.86,114.6,0.094519995,0.15456,0.788,0.085,11.41357184522651,7
BX,57.752575,18.415516,0.22041,61.166,2.91,203836604416.0,0.0207,1.502,168.06,167.05,0.19971001,0.51078,0.886,0.541,-0.6009758419612043,7
RCL,21.054163,8.011221,0.44263,298.394,9.97,56439554048.0,0.0078,2.622,209.91,219.03,0.16207,0.33483002,0.087,0.175,4.344719165356592,7
CSX,18.057873,5.0632067,0.29458,147.913,1.88,65817894912.0,0.014400001,1.189,33.9488,38.48,0.24971001,0.37717998,1.195,0.013,13.347158073333954,7
CLX,56.388885,334.84534,2.08451,1287.5,2.88,20102033408.0,0.03,0.394,162.4,160.21,0.0478,0.17367001,0.553,0.271,-1.3485221674876868,7
TRMB,10.036825,2.6681607,0.30337,33.752,6.11,14976055296.0,,1.487,61.325,70.85,0.407,0.07729,0.769,-0.124,15.532001630656334,7
FCX,33.865944,3.728658,0.16870001,33.531,1.38,67151654912.0,0.012999999,1.895,46.735,55.56,0.07812,0.28542,1.048,0.166,18.883064084733082,7
MLM,18.118486,3.8937218,0.23437001,48.348,32.24,35701526528.0,0.0054,0.907,584.14,637.74,0.3046,0.2631,1.123,-0.053,9.175882493922693,7
NRG,9.96875,6.3452682,0.59641,301.573,9.12,18763038720.0,0.0185,1.086,90.915,95.68,0.07191,0.21415001,0.457,0.049,5.241159324643907,7
FAST,38.945274,12.466953,0.32698002,14.644,2.01,44845514752.0,0.02,0.997,78.28,71.03,0.15439999,0.20317,2.013,0.035,-9.261624936126722,7
MAS,21.704788,,5.70874,2238.028,3.76,17607274496.0,0.014400001,1.249,81.61,87.53,0.10543,0.18003,1.111,0.002,7.25401298860433,7
LEN,11.687043,1.7404169,0.15878001,14.665,15.05,47403937792.0,0.0116,1.608,175.89,200.13,0.11512,0.13887,3.257,0.079,13.781340610608916,7
ODFL,35.939037,10.520989,0.30241,1.437,5.71,43976294400.0,0.0050999997,0.992,205.2119,192.56,0.21027,0.27334,1.328,-0.03,-6.165285736353498,7
ALLE,21.583076,7.762408,0.40822,162.864,6.5,12195310592.0,0.0138,1.124,140.29,147.68,0.15359999,0.22242,1.226,0.054,5.26765984745885,7
ANSS,57.568783,5.10526,0.094289996,15.576,5.67,28524298240.0,,1.113,326.415,341.76,0.21297,0.26495,2.859,0.196,4.701070722852796,7
KEYS,29.745682,5.1416674,0.18031,38.929,5.21,26894829568.0,,0.975,154.975,171.11,0.18249,0.17091,1.249,-0.119,10.411356670430738,7
MKTX,39.994244,7.9010797,0.21017,5.734,6.95,10493545472.0,0.010299999,1.079,277.96,279.82,0.33713,0.41151002,12.354,0.099,0.669161030364096,7
LYB,12.8710165,2.0082395,0.1586,92.277,6.59,27545888768.0,0.0637,1.08,84.82,100.96,0.052729998,0.0777,1.1,-0.029,19.028531006838012,7
TDG,49.128227,,,,27.1,74705313792.0,,1.411,1331.375,1492.18,0.21837999,0.46921003,2.695,0.173,12.07811473101117,7
WAT,36.790474,14.305818,0.4964,120.473,10.5,22937024512.0,,0.956,386.3,378.4,0.21431999,0.28697002,1.227,0.04,-2.045042712917433,7
A,29.204165,6.828056,0.24658,52.787,4.8,40277635072.0,0.0068,1.055,140.18,148.81,0.21747999,0.24968,1.258,-0.056,6.1563703809387915,7
CTSH,16.654867,2.5836565,0.16478,12.891,4.52,37325631488.0,0.016,1.049,75.28,82.14,0.116009995,0.15285,1.839,0.03,9.112646121147705,7
PANW,50.32219,23.100992,0.74517995,27.28,7.3,120216305664.0,,1.127,367.352,386.2,0.3211,0.119799994,0.771,0.121,5.130773753783835,7
WST,47.945103,8.512908,0.17778,11.188,6.74,23403298816.0,0.0027,1.007,323.15,358.24,0.17368999,0.22319001,2.047,-0.001,10.858734333900678,7
APD,26.725454,4.528471,0.16211,88.299,11.51,68386004992.0,0.0231,0.83,307.61,332.83,0.21239,0.23798001,1.028,-0.016,8.198693150417725,7
AXP,20.214127,6.5101786,0.3469,186.815,13.59,193518075904.0,0.0104,1.213,274.71,275.96,0.16698,0.20936,1.619,0.08,0.4550252994066417,7
GWW,30.310133,15.559867,0.52611,83.325,36.92,54497959936.0,0.0075,1.16,1119.05,1059.56,0.10802,0.15634,1.592,0.043,-5.316116348688615,7
AES,10.638888,3.3110006,-0.02549,352.879,1.44,10892933120.0,0.045300003,1.07,15.32,21.92,0.08344,0.20158,0.311,-0.042,43.080939947780685,7
WELL,85.39407,2.7331395,0.03417,52.153,1.57,83483230208.0,0.02,1.203,134.0687,133.76,0.121190004,0.17371,2.224,0.288,-0.23025508563894181,7
IPG,14.000001,2.9674065,0.21792999,111.806,2.12,11056066560.0,0.044699997,1.082,29.68,31.67,0.086540006,0.16194999,1.0,-0.029,6.704851752021579,7
MU,148.32858,2.5514193,0.01743,31.194,0.7,115120472064.0,0.0045,1.179,103.83,142.23,0.03098,0.19703,1.592,0.933,36.98353077145333,7
STLD,12.184519,2.2964697,0.19703,40.575,11.11,20887996416.0,0.0138,1.328,135.37,135.55,0.09799,0.091079995,1.198,-0.054,0.13296890005172202,7
FICO,105.80847,,,,19.11,49576407040.0,,1.352,2022.0,1935.51,0.28942,0.42481,1.761,0.123,-4.277448071216616,7
MOH,16.87697,3.966947,0.26454002,53.019,19.67,18988683264.0,,0.578,331.97,368.22,0.030469999,0.0475,1.496,0.174,10.91966141518812,7
BXP,76.603775,2.2274034,0.058280002,205.256,1.06,14381818880.0,0.048800003,1.202,81.2,80.88,0.10055,0.29981002,1.46,0.465,-0.3940886699507429,7
MCHP,29.665339,6.2361813,0.20696,96.83,2.51,39948161024.0,0.024400001,1.516,74.46,91.64,0.20795,0.17860001,0.928,-0.458,23.072790760139682,7
NOW,151.3539,21.512503,0.16221,24.166,6.4,199852048384.0,,0.988,968.665,997.37,0.12768,0.14945,0.973,0.222,2.963356784853377,7
OXY,13.019431,1.9148409,0.14427,64.525,3.86,46997270528.0,0.0174,1.598,50.255,63.24,0.17045,0.23427,0.592,0.017,25.83822505223361,7
ECL,34.581245,10.525624,0.25164,103.915,7.14,69915549696.0,0.0093,1.135,246.9101,272.01,0.13045,0.14715,0.911,0.178,10.165602784171245,7
EBAY,15.397985,5.436194,0.35851002,145.0,3.97,29281269760.0,0.0179,1.316,61.13,61.69,0.19677,0.23098,1.088,0.03,0.9160804842139658,7
FDS,33.708633,9.298287,0.30411,82.338,13.9,17799651328.0,0.009,0.751,468.55,459.18,0.24381,0.23386,1.08,0.049,-1.9997865756055888,7
FMC,5.194422,1.7154778,0.38454,90.927,12.19,7904615424.0,0.0366,0.855,63.32,72.4,0.34931,0.14849,0.922,0.085,14.339861023373345,7
LULU,24.705109,9.795611,0.43159,36.186,12.92,39189192704.0,,1.254,319.19,314.99,0.16343,0.22784,1.182,0.073,-1.3158306964503819,7
MRK,21.240585,5.907028,,86.574,4.78,257359265792.0,0.030199999,0.399,101.53,134.43,0.19229001,0.26457,,0.044,32.404215502807055,6
PYPL,18.891148,3.937618,0.22188,65.718,4.18,79165571072.0,,1.441,78.965,88.39,0.14076,0.18185,0.261,0.058,11.935667700880126,6
EXR,44.53342,2.5200095,0.05568,81.787,3.74,36742533120.0,0.0396,0.871,166.555,175.44,0.24513,0.45147,0.192,0.102,5.334574164690342,6
WMB,22.907328,5.283854,0.20376,178.096,2.32,64780038144.0,0.0364,1.077,53.145,49.79,0.27552998,0.28235,0.266,0.041,-6.312917489886171,6
SWKS,18.204544,2.2206821,0.12777,18.951,4.84,14072577024.0,0.0318,1.199,88.11,111.35,0.17848,0.14578,3.333,-0.155,26.376120758143216,6
CL,27.04454,176.90788,4.87923,1009.091,3.48,76892987392.0,0.0214,0.397,94.115,105.23,0.14264,0.21000999,0.576,0.024,11.810019656802861,6
PG,28.683954,7.6619344,0.28766,69.338,5.79,391125270528.0,0.024400001,0.407,166.0801,180.04,0.17063,0.27763999,0.507,-0.006,8.405522395518794,6
